rssi_mean,rssi_std,rssi_range,rssi_roc,rssi_peak_cnt,lat_mean,lat_std,lat_max,lat_roc,lat_peak_cnt,rssi_lat_corr,label
82.0,0.0,0.0,0.0,0,1.75,0.9421,5.0,0.7368,1,0.0,1
82.0,0.0,0.0,0.0,0,1.8,0.9274,5.0,0.8421,1,0.0,1
82.0,0.0,0.0,0.0,0,1.9,0.8888,5.0,0.7895,1,0.0,1
82.0,0.0,0.0,0.0,0,1.9,1.1358,5.0,1.0,1,0.0,1
82.0,0.0,0.0,0.0,0,1.75,0.8874,5.0,0.7895,1,0.0,1
82.0,0.0,0.0,0.0,0,2.05,1.244,6.0,1.0526,2,0.0,1
82.0,0.0,0.0,0.0,0,2.1,1.2207,6.0,1.0526,2,0.0,1
82.0,0.0,0.0,0.0,0,1.85,1.0618,6.0,0.7368,1,0.0,1
82.0,0.0,0.0,0.0,0,1.7,1.1,6.0,0.7368,1,0.0,1
82.0,0.0,0.0,0.0,0,1.35,0.477,2.0,0.3158,0,0.0,1
82.0,0.0,0.0,0.0,0,1.2,0.4,2.0,0.2632,0,0.0,1
82.0,0.0,0.0,0.0,0,1.4,1.1136,6.0,0.7895,1,0.0,1
82.0,0.0,0.0,0.0,0,1.5,1.118,6.0,0.9474,1,0.0,1
82.0,0.0,0.0,0.0,0,1.75,1.479,6.0,1.3684,2,0.0,1
82.0,0.0,0.0,0.0,0,1.75,1.479,6.0,1.3158,2,0.0,1
82.0,0.0,0.0,0.0,0,1.7,1.1446,6.0,1.0,1,0.0,1
82.0,0.0,0.0,0.0,0,1.6,1.1576,6.0,0.9474,1,0.0,1
82.0,0.0,0.0,0.0,0,1.35,0.5723,3.0,0.5263,0,0.0,1
82.0,0.0,0.0,0.0,0,1.55,0.9734,5.0,0.8421,1,0.0,1
82.0,0.0,0.0,0.0,0,1.45,0.9206,5.0,0.8421,1,0.0,1
82.0,0.0,0.0,0.0,0,1.5,0.922,5.0,0.8947,1,0.0,1
82.0,0.0,0.0,0.0,0,1.85,1.3143,6.0,1.1053,1,0.0,1
82.0,0.0,0.0,0.0,0,1.8,1.2083,6.0,1.3684,2,0.0,1
82.0,0.0,0.0,0.0,0,1.95,1.2835,6.0,1.4737,3,0.0,1
82.0,0.0,0.0,0.0,0,2.05,1.3592,6.0,1.6842,4,0.0,1
82.0,0.0,0.0,0.0,0,1.85,1.0618,4.0,1.4211,3,0.0,1
82.0,0.0,0.0,0.0,0,1.95,1.1608,5.0,1.3158,2,0.0,1
82.0,0.0,0.0,0.0,0,1.85,1.1079,5.0,1.3684,2,0.0,1
82.0,0.0,0.0,0.0,0,2.2,2.2494,11.0,2.1053,2,0.0,1
82.0,0.0,0.0,0.0,0,2.3,2.512,11.0,2.4737,3,0.0,1
82.0,0.0,0.0,0.0,0,2.0,2.4698,11.0,2.0,2,0.0,1
82.0,0.0,0.0,0.0,0,3.6,6.375,29.0,5.1053,4,0.0,1
82.0,0.0,0.0,0.0,0,3.2,6.1368,29.0,4.2105,3,0.0,1
82.0,0.0,0.0,0.0,0,3.05,6.0537,29.0,3.7895,2,0.0,1
82.0,0.0,0.0,0.0,0,3.15,6.0355,29.0,3.9474,2,0.0,1
82.0,0.0,0.0,0.0,0,1.55,0.669,3.0,0.7368,0,0.0,1
82.0,0.0,0.0,0.0,0,1.5,0.6708,3.0,0.6316,0,0.0,1
82.0,0.0,0.0,0.0,0,1.5,0.7416,3.0,0.7368,0,0.0,1
82.0,0.0,0.0,0.0,0,1.5,0.7416,3.0,0.7368,0,0.0,1
82.0,0.0,0.0,0.0,0,2.15,2.7978,14.0,1.2632,0,0.0,1
82.0,0.0,0.0,0.0,0,2.3,2.8125,14.0,2.0,1,0.0,1
82.0,0.0,0.0,0.0,0,2.35,2.7978,14.0,2.0,1,0.0,1
82.0,0.0,0.0,0.0,0,2.45,2.7654,14.0,2.1053,1,0.0,1
82.0,0.0,0.0,0.0,0,1.65,0.8529,4.0,0.7895,0,0.0,1
82.0,0.0,0.0,0.0,0,1.55,0.669,3.0,0.5789,0,0.0,1
82.0,0.0,0.0,0.0,0,1.6,0.5831,3.0,0.4211,0,0.0,1
